NEW_GMT;AVG_ALT;AVG_SPEED;DIST;FUEL
28.09.2020;126.6184669;19.04355401;90.90234;265
29.09.2020;143.8496503;15.75874126;24.39844;102
01.10.2020;128.8712121;35.4962406;39;76
29.10.2020;139.7222222;3.684210526;0.3007813;14
10.11.2020;144.7073171;3.357142857;0.6992188;36
21.05.2021;151.7777778;1.4;0.1015625;10
01.06.2021;143.3;2.416666667;0.09765625;10
02.06.2021;153.2213542;12.47395833;35.20313;175
15.06.2021;152.7264574;11.33035714;19.29688;108
16.06.2021;119.5833333;19.94930876;48;143
19.06.2021;148.1176471;14.01941748;8.402344;37
20.06.2021;96.93520518;24.04487179;95.69922;919
21.06.2021;95.3015873;22.75394322;63.80078;138
22.06.2021;139.8243968;15.43239625;114.0977;865
24.06.2021;124.8425787;19.71407186;118.3008;275
25.06.2021;146.4019608;14.82524272;13.19922;43
26.06.2021;153.3111111;13.91489362;8.101563;22
27.06.2021;131.952381;16.51111111;7.597656;27
28.06.2021;146.2798635;13;105.8008;281
29.06.2021;140.1067961;15.14423077;16;43
30.06.2021;143.4435484;14.52380952;20.19922;54
01.07.2021;142.6842105;13.81034483;4.402344;17
02.07.2021;130.9333333;12.95744681;8.097656;29
06.07.2021;137.6515152;16.68656716;11.90234;33
08.07.2021;149.84375;12.45136187;25.19922;88
11.07.2021;144.7090909;15.37387387;28.30078;77
12.07.2021;130.9074074;18.94545455;9.203125;1181
13.07.2021;140;10.6122449;8.097656;27
14.07.2021;128.58;14.31372549;8.203125;23
15.07.2021;137.1641791;17.82352941;11;32
16.07.2021;120.1836735;17.32;8.199219;23
17.07.2021;149.3863636;14.71111111;6.5;17
18.07.2021;125.4;12.07843137;8.101563;28
19.07.2021;137.8468468;14.58928571;14.80078;34
20.07.2021;124.3191489;15.375;8.101563;27
21.07.2021;125.3863636;13.93333333;8.097656;24
22.07.2021;138.4705882;17.68604651;14;28
23.07.2021;129.7454545;15.46428571;9.199219;25
24.07.2021;129.3888889;14.12328767;10.60156;30
25.07.2021;136.2916667;15.59183673;8.300781;20
26.07.2021;98.5130719;22.84415584;62.79688;126
27.07.2021;134.2631579;17.79310345;11;31
28.07.2021;147.3021845;15.95030303;104.1992;254
29.07.2021;134.1956522;13.80851064;8.199219;23
30.07.2021;135.7205882;9.043478261;9.101563;29
31.07.2021;132.9014085;10.81690141;8.398438;31
01.08.2021;143.9150943;14.03738318;12.60156;36
02.08.2021;147.0246305;11.66666667;17.59766;54
03.08.2021;135.8444444;16.16483516;12.30078;36
04.08.2021;141.3186813;14.49462366;12.39844;35
05.08.2021;144.7454545;13.56140351;12.5;42
06.08.2021;152.643617;12.96296296;16.60156;58
07.08.2021;136.9294118;16.70930233;12.30078;31
08.08.2021;134.175;11.40740741;10.19922;29
09.08.2021;154.9128857;10.646098;57.30078;1113
10.08.2021;154.654334;12.72016895;108.2969;295
11.08.2021;156.5934066;12.7032967;9;31
13.08.2021;152.4574468;11.62599469;32.60156;142
14.08.2021;145.3302469;16.74923547;38.5;131
15.08.2021;150.2941176;11.27906977;18.60156;56
18.08.2021;149.6491228;12.62711864;4.398438;25
19.08.2021;149.637931;13.94849785;55.5;132
20.08.2021;151.7016807;13.07322176;59.39844;159
23.08.2021;149.7291667;11.44;4.601563;23
24.08.2021;152.0718954;11.44155844;10.59766;1159
25.08.2021;173.4355556;11.77433628;18.69922;91
27.08.2021;149.1789474;11.41666667;5.402344;28
28.08.2021;148.745098;10.30769231;4.203125;12
30.08.2021;151.2;11.84615385;4.5;16
01.09.2021;132.2244898;14.15686275;7.699219;20
06.09.2021;157.4117647;3.578947368;0.203125;6
09.09.2021;137.4545455;5.371428571;1.097656;16
10.09.2021;150.4714286;10.75354108;26;94
11.09.2021;155.5;12.64285714;46.69922;135
12.09.2021;150.2671233;9.244897959;18.10156;87
13.09.2021;138.9003984;19.04887715;125.5977;372
14.09.2021;153.3143143;17.542;108.5;280
15.09.2021;124.1534714;24.76277372;159.6016;1183
16.09.2021;114.2745862;22.16260954;189.5977;554
17.09.2021;116.0868891;24.40186191;260.4023;1428
18.09.2021;148.5501433;13.38108883;35.80078;114
20.09.2021;155.9955157;9.53125;10.79688;68
22.09.2021;147.3023256;12.59090909;4.5;19
23.09.2021;152.3130435;11.34482759;7;38
25.09.2021;154.7444444;10.45744681;6.296875;31
27.09.2021;147.688;9.96;13.10156;58
28.09.2021;126.6142857;19.47578348;66.80078;540
29.09.2021;142.9285714;5.053571429;1.398438;34
30.09.2021;100.026506;49.47710843;144.6992;275
02.10.2021;112.3169811;26.38059701;53.40234;181
03.10.2021;133.3318386;22.58445441;120.8008;324
07.10.2021;125.2038627;21.56745182;87.5;927
08.10.2021;124.8938547;23.75174338;130.2969;390
12.10.2021;137.325;4.404761905;1.398438;615
13.10.2021;106.4065041;17.79149798;92.60156;260
14.10.2021;136.6132597;15.94889503;124;405
15.10.2021;121.7871658;20.08449198;164.1016;721
16.10.2021;112.01221;22.29059829;145.5;326
17.10.2021;128.0471698;16.22257053;44;152
18.10.2021;142.2007435;16.52222222;36;994
19.10.2021;146.822186;15.36052202;61.59766;232
20.10.2021;161.4444444;3.1;0.1992188;6
27.10.2021;130.6154639;23.30895984;180.2031;433
28.10.2021;144.2441176;16.80117532;122.1992;299
01.11.2021;156.1212815;10.19863014;21.90234;1015
02.11.2021;148.8613445;15.60335782;112.3008;304
08.11.2021;135.6828645;15.86005089;45.5;121
09.11.2021;130.0753176;23.95648232;208.8984;419
10.11.2021;147.787234;4.229166667;1.5;27
11.11.2021;135.7692308;6.928571429;0.3984375;10
15.11.2021;149.3352713;13.90540541;47;185
19.11.2021;144.3610224;17.1433121;37;134
23.11.2021;148.8207381;15.76842105;76.20313;893
26.11.2021;140.9090909;1.913043478;0.1992188;28
07.12.2021;147.4795918;11.69720102;39.59766;145
08.12.2021;140.3212435;16.46206897;96.90234;259
09.12.2021;141.0196399;16.01470588;97.39844;277
10.12.2021;148.1330472;11.47435897;23.40234;888
13.12.2021;142.8130841;18.90046656;99.19922;251
17.12.2021;139.6801406;21.31052632;105;222
20.12.2021;146.9466667;12.85333333;8.097656;41
21.12.2021;130.7537313;32.44117647;39.30078;70
24.12.2021;146.1076389;13.11643836;23.89844;1015
27.12.2021;126.8;2.5;0.1992188;7
28.12.2021;140.8245614;6.439306358;8.199219;99
29.12.2021;142.9285714;12.15643564;54.80078;197
30.12.2021;145.9411765;9.757281553;6.898438;413
03.01.2022;156.5498575;8.622159091;16.90234;122
07.01.2022;152.4233129;10.98470948;36.69922;159
08.01.2022;150.6950355;11.49473684;33.19922;119
09.01.2022;145.2009926;16.44059406;68.09766;181
10.01.2022;143.7738998;16.51212121;103.1016;269
11.01.2022;144.0658915;15.15860735;76.39844;965
12.01.2022;147.7777778;13.62727273;13.60156;40
16.01.2022;150.6481481;9.339285714;5.300781;37
19.01.2022;157.4496124;8.93556701;22.5;124
20.01.2022;138.5644172;13.76969697;23.09766;80
21.01.2022;144.7608696;14.25203252;52;158
25.01.2022;154.1304348;8.641025641;7.300781;45
26.01.2022;152.742268;8.051020408;14.19922;639
27.01.2022;148.9785867;11.26282051;42.70313;182
28.01.2022;153.9683544;8.475;9.800781;68
31.01.2022;152.1393443;11.39837398;7.5;46
02.02.2022;153.5421687;9.19760479;12.30078;75
03.02.2022;150.9019608;8.826923077;4.199219;23
04.02.2022;154.4705882;8.125;7.097656;49
06.02.2022;153.6919431;7.882075472;15;91
07.02.2022;156.7391304;10.84285714;5.5;34
08.02.2022;146.1749049;11.63636364;26.90234;126
10.02.2022;148.7777778;10.75;4.898438;34
15.02.2022;147.4193548;11.546875;5;32
